,country,people_fully_vaccinated,daily_vaccinations
0,Argentina,0.0,0.0
1,Argentina,0.0,15656.0
2,Argentina,0.0,15656.0
3,Argentina,0.0,11070.0
4,Argentina,0.0,8776.0
5,Argentina,0.0,7400.0
6,Argentina,0.0,6483.0
7,Argentina,0.0,7984.0
8,Argentina,0.0,8173.0
9,Argentina,0.0,8363.0
10,Argentina,0.0,10519.0
11,Argentina,0.0,11942.0
12,Argentina,0.0,13365.0
13,Argentina,0.0,14788.0
14,Argentina,0.0,14056.0
15,Argentina,0.0,13323.0
16,Argentina,0.0,13320.0
17,Argentina,0.0,13317.0
18,Argentina,0.0,12971.0
19,Argentina,0.0,12624.0
20,Argentina,0.0,12278.0
21,Argentina,0.0,11932.0
22,Argentina,4394.0,11586.0
23,Argentina,16352.0,11704.0
24,Argentina,25146.0,11263.0
25,Argentina,29188.0,11124.0
26,Argentina,31987.0,10342.0
27,Argentina,32264.0,9046.0
28,Argentina,38911.0,9626.0
29,Argentina,45710.0,10014.0
30,Argentina,51451.0,8896.0
31,Argentina,65583.0,9205.0
32,Argentina,85361.0,11189.0
33,Austria,0.0,0.0
34,Austria,0.0,4775.0
35,Austria,0.0,3194.0
36,Austria,0.0,4427.0
37,Austria,0.0,5644.0
38,Austria,0.0,6593.0
39,Austria,0.0,7270.0
40,Austria,0.0,6952.0
41,Austria,304.0,7065.0
42,Austria,1034.0,8334.0
43,Austria,2007.0,9833.0
44,Austria,3214.0,11270.0
45,Austria,3540.0,12144.0
46,Austria,4243.0,12278.0
47,Austria,4289.0,12013.0
48,Austria,4306.0,11477.0
49,Austria,4346.0,11346.0
50,Austria,5126.0,10013.0
51,Austria,5633.0,8741.0
52,Austria,7157.0,8095.0
53,Austria,13551.0,8690.0
54,Bahrain,0.0,0.0
55,Bahrain,0.0,11106.0
56,Bahrain,0.0,5789.0
57,Bahrain,0.0,4197.0
58,Bahrain,0.0,3662.0
59,Bahrain,0.0,3210.0
60,Bahrain,0.0,2846.0
61,Bahrain,0.0,2622.0
62,Bahrain,0.0,1225.0
63,Bahrain,0.0,1258.0
64,Bahrain,0.0,1220.0
65,Bahrain,0.0,1011.0
66,Bahrain,0.0,943.0
67,Bahrain,0.0,1122.0
68,Bahrain,0.0,1594.0
69,Bahrain,0.0,1942.0
70,Bahrain,0.0,2706.0
71,Bahrain,0.0,3437.0
72,Bahrain,0.0,4080.0
73,Bahrain,0.0,4427.0
74,Bahrain,0.0,4840.0
75,Bahrain,0.0,4699.0
76,Bahrain,0.0,5332.0
77,Bahrain,0.0,6361.0
78,Bahrain,0.0,7572.0
79,Bahrain,0.0,7473.0
80,Bahrain,0.0,7176.0
81,Bahrain,0.0,6546.0
82,Bahrain,0.0,6110.0
83,Bahrain,0.0,5457.0
84,Bahrain,0.0,4084.0
85,Bahrain,0.0,2555.0
86,Bahrain,0.0,2445.0
87,Bahrain,0.0,2784.0
88,Bahrain,0.0,3194.0
89,Bahrain,0.0,3372.0
90,Bahrain,0.0,3096.0
91,Bahrain,0.0,2629.0
92,Bahrain,0.0,2199.0
93,Belgium,0.0,0.0
94,Belgium,0.0,1.0
95,Belgium,0.0,240.0
96,Belgium,0.0,163.0
97,Belgium,0.0,122.0
98,Belgium,0.0,98.0
99,Belgium,0.0,82.0
100,Belgium,0.0,70.0
101,Belgium,0.0,287.0
102,Belgium,0.0,768.0
103,Belgium,0.0,1916.0
104,Belgium,0.0,3219.0
105,Belgium,0.0,3672.0
106,Belgium,0.0,3728.0
107,Belgium,0.0,4504.0
108,Belgium,0.0,6498.0
109,Belgium,0.0,8839.0
110,Belgium,0.0,10704.0
111,Belgium,0.0,12568.0
112,Belgium,0.0,12822.0
113,Belgium,0.0,13178.0
114,Belgium,109.0,13822.0
115,Belgium,290.0,14231.0
116,Belgium,712.0,14143.0
117,Belgium,712.0,15082.0
118,Belgium,743.0,15838.0
119,Belgium,750.0,16167.0
120,Belgium,750.0,16009.0
121,Belgium,750.0,15923.0
122,Belgium,2023.0,14573.0
123,Belgium,4566.0,13413.0
124,Belgium,9298.0,11560.0
125,Belgium,12844.0,8775.0
126,Bermuda,0.0,0.0
127,Bermuda,0.0,278.0
128,Bermuda,0.0,278.0
129,Bermuda,0.0,278.0
130,Bermuda,0.0,278.0
131,Bermuda,0.0,278.0
132,Bermuda,0.0,278.0
133,Bermuda,0.0,264.0
134,Bermuda,0.0,250.0
135,Bermuda,0.0,236.0
136,Bermuda,0.0,222.0
137,Bermuda,0.0,209.0
138,Bermuda,0.0,195.0
139,Bermuda,0.0,181.0
140,Brazil,0.0,0.0
141,Brazil,0.0,112.0
142,Brazil,0.0,554.0
143,Brazil,0.0,3823.0
144,Brazil,0.0,7136.0
145,Brazil,0.0,27304.0
146,Brazil,0.0,40980.0
147,Brazil,0.0,76825.0
148,Brazil,0.0,86373.0
149,Brazil,0.0,99928.0
150,Brazil,0.0,119630.0
151,Brazil,0.0,157335.0
152,Brazil,0.0,187769.0
153,Brazil,0.0,203165.0
154,Brazil,0.0,209348.0
155,Bulgaria,0.0,0.0
156,Bulgaria,0.0,2889.0
157,Bulgaria,0.0,1477.0
158,Bulgaria,0.0,1007.0
159,Bulgaria,0.0,799.0
160,Bulgaria,0.0,675.0
161,Bulgaria,0.0,592.0
162,Bulgaria,0.0,533.0
163,Bulgaria,0.0,472.0
164,Bulgaria,0.0,920.0
165,Bulgaria,0.0,1231.0
166,Bulgaria,0.0,1222.0
167,Bulgaria,0.0,1246.0
168,Bulgaria,0.0,1270.0
169,Bulgaria,0.0,1476.0
170,Bulgaria,0.0,1304.0
171,Bulgaria,0.0,938.0
172,Bulgaria,0.0,682.0
173,Bulgaria,0.0,694.0
174,Bulgaria,0.0,662.0
175,Bulgaria,1114.0,782.0
176,Bulgaria,3168.0,921.0
177,Bulgaria,4293.0,1013.0
178,Bulgaria,4532.0,1081.0
179,Bulgaria,4605.0,1139.0
180,Bulgaria,4610.0,1112.0
181,Bulgaria,4610.0,1099.0
182,Bulgaria,4669.0,1023.0
183,Bulgaria,5455.0,985.0
184,Bulgaria,7672.0,1256.0
185,Bulgaria,10883.0,1769.0
186,Bulgaria,12949.0,2101.0
187,Bulgaria,13063.0,2129.0
188,Canada,0.0,0.0
189,Canada,0.0,0.0
190,Canada,0.0,0.0
191,Canada,3613.0,0.0
192,Canada,0.0,0.0
193,Canada,0.0,4282.0
194,Canada,0.0,7285.0
195,Canada,0.0,10736.0
196,Canada,15911.0,14575.0
197,Canada,0.0,18415.0
198,Canada,0.0,22255.0
199,Canada,0.0,27529.0
200,Canada,0.0,28179.0
201,Canada,0.0,56525.0
202,Canada,0.0,58593.0
203,Canada,27776.0,57133.0
204,Canada,0.0,55673.0
205,Canada,0.0,54213.0
206,Canada,0.0,52466.0
207,Canada,0.0,57828.0
208,Canada,0.0,29173.0
209,Canada,0.0,26423.0
210,Chile,0.0,0.0
211,Chile,0.0,4771.0
212,Chile,0.0,3958.0
213,Chile,0.0,2742.0
214,Chile,0.0,2069.0
215,Chile,0.0,1665.0
216,Chile,0.0,1396.0
217,Chile,0.0,1204.0
218,Chile,0.0,530.0
